traffic,legend,queue_depth,loss_rate,link_rate_mhit_s,stall_cycles,active_channels,definition
physical_cluster8,physical 8-channel hit,15,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,15,0.94140625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,16,0.877117042503,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,16,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,16,0.9375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,17,0.869572414201,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,17,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,17,0.93359375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,18,0.862044130041,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,18,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,18,0.9296875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,19,0.854532258696,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,19,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,19,0.92578125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,20,0.847036869419,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,20,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,20,0.921875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,21,0.839558032048,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,21,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,21,0.91796875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,22,0.832095817018,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,22,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,22,0.9140625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,23,0.824650295364,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,23,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,23,0.91015625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,24,0.817221538732,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,24,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,24,0.90625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,25,0.809809619384,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,25,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,25,0.90234375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,26,0.802414610209,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,26,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,26,0.8984375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,27,0.79503658473,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,27,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,27,0.89453125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,28,0.787675617111,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,28,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,28,0.890625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,29,0.780331782168,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,29,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,29,0.88671875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,30,0.773005155374,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,30,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,30,0.8828125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,31,0.765695812872,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,31,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,31,0.87890625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,32,0.758403831482,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,32,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,32,0.875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,33,0.751129288707,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,33,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,33,0.87109375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,34,0.743872262749,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,34,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,34,0.8671875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,35,0.736632832511,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,35,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,35,0.86328125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,36,0.729411077613,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,36,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,36,0.859375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,37,0.722207078397,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,37,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,37,0.85546875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,38,0.715020915938,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,38,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,38,0.8515625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,39,0.707852672058,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,39,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,39,0.84765625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,40,0.700702429329,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,40,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,40,0.84375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,41,0.693570271092,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,41,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,41,0.83984375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,42,0.686456281459,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,42,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,42,0.8359375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,43,0.679360545331,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,43,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,43,0.83203125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,44,0.672283148404,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,44,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,44,0.828125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,45,0.665224177185,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,45,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,45,0.82421875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,46,0.658183718999,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,46,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,46,0.8203125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,47,0.651161862004,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,47,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,47,0.81640625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,48,0.6441586952,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,48,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,48,0.8125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,49,0.637174308445,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,49,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,49,0.80859375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,50,0.630208792462,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,50,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,50,0.8046875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,51,0.623262238858,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,51,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,51,0.80078125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,52,0.616334740131,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,52,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,52,0.796875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,53,0.60942638969,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,53,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,53,0.79296875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,54,0.602537281859,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,54,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,54,0.7890625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,55,0.595667511899,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,55,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,55,0.78515625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,56,0.588817176019,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,56,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,56,0.78125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,57,0.581986371389,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,57,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,57,0.77734375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,58,0.575175196156,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,58,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,58,0.7734375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,59,0.568383749458,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,59,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,59,0.76953125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,60,0.56161213144,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,60,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,60,0.765625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,61,0.55486044327,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,61,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,61,0.76171875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,62,0.54812878715,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,62,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,62,0.7578125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,63,0.54141726634,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,63,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,63,0.75390625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,64,0.534725985168,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,64,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,64,0.75,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,65,0.528055049047,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,65,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,65,0.74609375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,66,0.521404564497,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,66,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,66,0.7421875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,67,0.514774639158,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,67,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,67,0.73828125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,68,0.508165381807,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,68,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,68,0.734375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,69,0.501576902383,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,69,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,69,0.73046875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,70,0.495009311996,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,70,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,70,0.7265625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,71,0.488462722953,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,71,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,71,0.72265625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,72,0.481937248775,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,72,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,72,0.71875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,73,0.475433004216,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,73,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,73,0.71484375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,74,0.468950105286,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,74,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,74,0.7109375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,75,0.462488669268,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,75,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,75,0.70703125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,76,0.456048814742,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,76,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,76,0.703125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,77,0.449630661604,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,77,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,77,0.69921875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,78,0.443234331092,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,78,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,78,0.6953125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,79,0.436859945805,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,79,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,79,0.69140625,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,80,0.430507629727,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,80,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,80,0.6875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,81,0.424177508252,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,81,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,81,0.68359375,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,82,0.417869708205,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,82,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,82,0.6796875,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
iid_256,iid 256-channel,83,0.41158435787,200.0,256,256,exact expected lost-hit fraction for iid dark-count tags over all 256 channels
physical_cluster8,physical 8-channel hit,83,0,200.0,256,8,localized physical hit crossing 8 channels; repeated cluster during the stall window
injection_all256,injection all-channel,83,0.67578125,200.0,256,256,deterministic all-channel injection/superburst over all 256 channels
